id,company_name,industry_tags,business_scope,registered_capital,established_year
42,武汉南瑞信息技术有限公司,"系统集成,信息技术",电力信息化、系统集成、软件开发、信息技术服务,3000万元,2012
43,武汉国电南自信息技术有限公司,"系统集成,信息技术",电力行业信息化、系统集成、软件开发、自动化控制,2000万元,2013
44,武汉华胜天成信息技术有限公司,"云计算,信息技术",云计算服务、IT运维、系统集成、信息技术咨询,1000万元,2015
45,武汉太极信息技术有限公司,"系统集成,信息技术",政务信息化、系统集成、软件开发、信息技术服务,2000万元,2014
46,武汉中国软件技术服务有限公司,"软件开发,信息技术",软件技术服务、信息技术咨询、系统集成、软件开发,1500万元,2013
47,武汉神州数码信息系统有限公司,"系统集成,信息技术",信息系统集成、IT产品分销、云计算服务、信息技术咨询,3000万元,2012
48,武汉东华软件有限公司,"软件开发,系统集成",行业应用软件、系统集成、信息技术服务、数字化咨询,2000万元,2014
49,武汉浪潮信息技术有限公司,"云计算,信息技术",云计算服务器、大数据平台、信息技术服务、系统集成,3000万元,2015
50,武汉中科曙光信息技术有限公司,"云计算,信息技术",高性能计算、云计算服务、信息技术咨询、系统集成,2000万元,2016
51,武汉斑马快跑科技有限公司,"互联网,出行",互联网出行平台、软件开发、信息技术服务、数据分析,2000万元,2015
52,武汉宁美网络科技有限公司,"互联网,电子商务",电脑电商、互联网零售、软件开发、信息技术服务,1000万元,2012
53,武汉卷皮网络科技有限公司,"互联网,电子商务",时尚电商、互联网零售、软件开发、数据分析,1000万元,2014
54,武汉秀派网络科技有限公司,"互联网,电子商务",电子商务平台、互联网技术服务、软件开发,500万元,2016
55,武汉极光网络科技有限公司,"互联网,软件开发",推送服务、开发者服务、软件开发、信息技术咨询,1000万元,2017
56,武汉网福科技有限公司,"互联网,软件开发",互联网应用开发、软件开发、信息技术咨询、数字营销,500万元,2018
57,武汉爱奇互联网科技有限公司,"互联网,软件开发",互联网技术服务、软件开发、信息技术咨询、数据分析,500万元,2019
58,武汉多牛网络科技有限公司,"互联网,媒体",互联网媒体平台、内容分发、软件开发、信息技术服务,1000万元,2017
59,武汉花桥网络技术有限公司,"互联网,软件开发",互联网应用开发、软件开发、信息技术服务、系统集成,500万元,2018
60,武汉乐享互联网科技有限公司,"互联网,软件开发",互联网应用开发、软件开发、信息技术咨询、数据分析,500万元,2019
61,武汉金融港信息技术有限公司,"金融科技,软件开发",金融行业软件、风控系统开发、信息技术咨询、数据分析,2000万元,2017
62,武汉慧策信息技术有限公司,"SaaS,电子商务",电商ERP服务、SaaS平台开发、信息技术咨询、数据分析,1000万元,2018
63,武汉聚水潭网络科技有限公司,"SaaS,电子商务",电商ERP系统、仓储管理软件、SaaS服务、信息技术咨询,1000万元,2018
64,武汉领健信息技术有限公司,"SaaS,医疗信息化",口腔行业SaaS、医疗信息化、软件开发、信息技术咨询,500万元,2019
65,武汉店小秘信息技术有限公司,"SaaS,电子商务",跨境电商ERP、SaaS平台运营、软件开发、信息技术咨询,500万元,2018
66,武汉小满科技有限公司,"SaaS,国际贸易",外贸CRM系统、SaaS平台开发、信息技术咨询、数据分析,500万元,2017
67,武汉飞书科技有限公司,"SaaS,协同办公",协同办公软件、SaaS平台、软件开发、信息技术服务,1000万元,2020
68,武汉得物信息技术有限公司,"互联网,电子商务",电商交易平台、鉴定技术服务、软件开发、信息技术咨询,2000万元,2019
69,武汉微盟信息技术有限公司,"SaaS,数字营销",微信生态SaaS、数字营销平台、软件开发、信息技术咨询,1000万元,2018
70,武汉有赞信息技术有限公司,"SaaS,电子商务",电商SaaS服务、支付技术服务、软件开发、信息技术咨询,1000万元,2017
71,武汉纬创软件技术有限公司,"软件开发,信息技术",软件外包、信息技术服务、系统集成、软件开发,1000万元,2014
72,武汉凌佳科技有限公司,"软件开发,信息技术",软件外包、信息技术服务、软件开发、数据分析,500万元,2016
73,武汉易宝软件有限公司,"软件开发,信息技术",金融软件外包、信息技术服务、软件开发、系统集成,500万元,2015
74,武汉安胜信达科技有限公司,"软件开发,信息技术",软件测试、信息技术服务、质量保障、软件开发,300万元,2017
75,武汉光庭信息技术有限公司,"软件开发,汽车电子",汽车电子软件、智能驾驶软件、软件开发、信息技术服务,1000万元,2016
76,武汉海默科技有限公司,"软件开发,信息技术",软件外包、信息技术咨询、软件开发、系统集成,500万元,2018
77,武汉联奕科技有限公司,"软件开发,信息技术",教育信息化软件、软件开发、信息技术服务、系统集成,500万元,2016
78,武汉开目信息技术有限公司,"软件开发,制造业信息化",制造业信息化软件、CAD/CAPP软件、信息技术服务,1000万元,2006
79,武汉天喻软件有限公司,"软件开发,教育信息化",教育信息化、数字校园软件、软件开发、信息技术服务,1000万元,2008
80,武汉瑞景信息技术有限公司,"软件开发,信息技术",政务信息化软件、软件开发、信息技术咨询、系统集成,500万元,2015
81,武汉简道云信息技术有限公司,"低代码,软件开发",低代码平台、表单工具、软件开发、信息技术咨询,500万元,2019
82,武汉氚云信息技术有限公司,"低代码,软件开发",低代码平台、业务流程自动化、软件开发、信息技术服务,500万元,2019
83,武汉轻流科技有限公司,"低代码,软件开发",低代码平台、工作流引擎、软件开发、信息技术咨询,500万元,2019
84,武汉宜创科技有限公司,"低代码,软件开发",低代码开发平台、可视化编程、软件开发、信息技术服务,300万元,2020
85,武汉数睿数据科技有限公司,"低代码,大数据",低代码数据平台、大数据分析、软件开发、信息技术咨询,500万元,2020
86,武汉智业软件有限公司,"软件开发,信息技术",建筑行业软件、BIM软件、信息技术咨询、软件开发,500万元,2015
87,武汉建研软件有限公司,"软件开发,建筑业信息化",建筑工程软件、结构分析软件、信息技术服务,500万元,2012
88,武汉同享软件有限公司,"软件开发,信息技术",CAD软件、设计工具、软件开发、信息技术服务,500万元,2008
89,武汉华工智云科技有限公司,"软件开发,云计算",云计算平台、软件开发、信息技术服务、数据治理,1000万元,2017
90,武汉知音号科技有限公司,"互联网,文化旅游",文旅互联网平台、软件开发、数字内容服务、信息技术咨询,1000万元,2018
91,武汉盛天网络科技有限公司,"互联网,游戏",网络游戏开发、互联网技术服务、软件开发、数字娱乐,1000万元,2010
92,武汉多益网络科技有限公司,"互联网,游戏",网络游戏开发、互联网技术服务、软件开发、数字娱乐,1000万元,2011
93,武汉极光互娱网络科技有限公司,"互联网,游戏",手机游戏开发、互联网技术服务、软件开发,500万元,2017
94,武汉掌游科技有限公司,"互联网,游戏",手机游戏开发、互联网技术服务、软件开发,500万元,2015
95,武汉微派网络科技有限公司,"互联网,游戏",休闲游戏开发、互联网技术服务、软件开发,500万元,2016
96,武汉游族信息技术有限公司,"互联网,游戏",网络游戏开发、互联网技术服务、软件开发、数字娱乐,1000万元,2017
97,武汉尚德科技有限公司,"软件开发,信息技术",软件开发、信息技术咨询、计算机系统集成、数据分析,500万元,2019
98,武汉同望信息技术有限公司,"软件开发,信息技术",工程造价软件、项目管理软件、信息技术服务、软件开发,500万元,2011
99,武汉华宇信息技术有限公司,"软件开发,信息技术",法律行业软件、电子政务软件、信息技术服务、软件开发,1000万元,2015
100,武汉法智易科技有限公司,"软件开发,法律科技",法律科技平台、合同管理软件、信息技术服务、软件开发,500万元,2019
