id,company_name,source_category
45,南斗六星(武汉)技术有限公司,数字化改造验收
46,博世华域转向系统(武汉)有限公司,数字化改造验收
47,博格华纳汽车零部件(武汉)有限公司,数字化改造验收
48,博联众科(武汉)科技有限公司,数字化改造验收
49,博雷顿(武汉)新能源装备有限公司,数字化改造验收
50,哈金森(武汉)汽车橡胶制品有限公司,数字化改造验收
51,嘉必优生物技术(武汉)股份有限公司,数字化改造验收
52,嘉艺沃德(武汉)技术有限公司,数字化改造验收
53,四方光电股份有限公司,数字化改造验收
54,国药集团中联药业有限公司,数字化改造验收
55,国药集团动物保健股份有限公司,数字化改造验收
56,国药集团武汉生物制药有限公司,数字化改造验收
57,娲石水泥集团有限公司,数字化改造验收
58,宝武轻材(武汉)有限公司,数字化改造验收
59,富诚汽车零部件武汉有限公司,数字化改造验收
60,岩联(武汉)科技有限公司,数字化改造验收
61,巴士麦普科技(武汉)有限公司,数字化改造验收
62,布林凯斯(武汉)生物技术有限公司,数字化改造验收
63,广钢气体(武汉)有限公司,数字化改造验收
64,康明斯燃油系统(武汉)有限公司,数字化改造验收
65,康明斯电力(中国)有限公司,数字化改造验收
66,恒昌新能源(湖北)有限公司,数字化改造验收
67,扬子江汽车集团有限公司,数字化改造验收
68,拜尔液压动力(武汉)股份有限公司,数字化改造验收
69,捷福装备(武汉)股份有限公司,数字化改造验收
70,数码模冲压技术(武汉)有限公司,数字化改造验收
71,昂融焊接技术(武汉)有限公司,数字化改造验收
72,晓筬(武汉)机电集成系统有限公司,数字化改造验收
73,普宙科技有限公司,数字化改造验收
74,智新半导体有限公司,数字化改造验收
75,智新控制系统有限公司,数字化改造验收
76,朗力生物医药(武汉)有限公司,数字化改造验收
77,木桥(武汉)汽车零部件有限公司,数字化改造验收
78,朵颐(武汉)供应链有限公司,数字化改造验收
79,柏为(武汉)医疗科技股份有限公司,数字化改造验收
80,格力暖通制冷设备(武汉)有限公司,数字化改造验收
81,格林美(武汉)城市矿山产业集团有限公司,数字化改造验收
82,格瑞拓动力股份有限公司,数字化改造验收
83,森织汽车内饰(武汉)有限公司,数字化改造验收
84,正泰高压电气设备(武汉)有限公司,数字化改造验收
85,武汉一冶钢结构有限责任公司,数字化改造验收
86,武汉七环电气股份有限公司,数字化改造验收
87,武汉万兴汽车零配件制造有限公司,数字化改造验收
88,武汉万居隆电器有限公司,数字化改造验收
89,武汉万曦智能科技有限公司,数字化改造验收
90,武汉万邦激光金刚石工具股份有限公司,数字化改造验收
91,武汉万集光电技术有限公司,数字化改造验收
92,武汉三和兴模具技术有限公司,数字化改造验收
93,武汉三宇机械有限公司,数字化改造验收
94,武汉三工光电设备制造有限公司,数字化改造验收
95,武汉三新电力设备制造有限公司,数字化改造验收
96,武汉三江中电科技有限责任公司,数字化改造验收
97,武汉世纪宏设备制造有限责任公司,数字化改造验收
98,武汉东泰盛机械有限公司,数字化改造验收
99,武汉东海敏实汽车零部件有限公司,数字化改造验收
100,武汉东环车身系统有限公司,数字化改造验收
101,武汉东运制版有限公司,数字化改造验收
102,武汉东风盛兰电缆有限公司,数字化改造验收
103,武汉东风鸿泰汽车资源循环利用有限公司,数字化改造验收
104,武汉中元华电科技股份有限公司,数字化改造验收
105,武汉中安佳通装备技术有限公司,数字化改造验收
106,武汉中新汽车零部件有限公司,数字化改造验收
107,武汉中森医疗用品有限公司,数字化改造验收
108,武汉中畜智联科技有限公司,数字化改造验收
109,武汉中石油昆仑管道燃气有限公司,数字化改造验收
110,武汉中科锐择光电科技有限公司,数字化改造验收
111,武汉中观自动化科技有限公司,数字化改造验收
112,武汉中车株机轨道交通装备有限公司,数字化改造验收
113,武汉中车长客轨道车辆有限公司,数字化改造验收
114,武汉丸顺汽车配件有限公司,数字化改造验收
115,武汉乐神三宝蜂业有限公司,数字化改造验收
116,武汉互创联合科技有限公司,数字化改造验收
117,武汉亚耀科技有限公司,数字化改造验收
118,武汉京天鼎承科技有限公司,数字化改造验收
119,武汉人天包装自动化技术股份有限公司,数字化改造验收
120,武汉亿倍佳食品科技有限公司,数字化改造验收
121,武汉亿庆盛建材有限公司,数字化改造验收
122,武汉亿斯达工具有限公司,数字化改造验收
123,武汉什湖知音粮油食品有限公司,数字化改造验收
124,武汉今仙电机有限公司,数字化改造验收
125,武汉众志实业有限公司,数字化改造验收
126,武汉众望包装有限公司,数字化改造验收
127,武汉优云智能医疗科技有限公司,数字化改造验收
128,武汉优光科技有限责任公司,数字化改造验收
129,武汉佰胜特厨房设备有限公司,数字化改造验收
130,武汉佳福节能环保高科股份有限公司,数字化改造验收
131,武汉佳速汽车零部件有限公司,数字化改造验收
132,武汉依瑞德医疗设备新技术有限公司,数字化改造验收
133,武汉倍普科技有限公司,数字化改造验收
134,武汉元丰汽车电控系统股份有限公司,数字化改造验收
135,武汉先同科技股份有限公司,数字化改造验收
136,武汉光安伦光电技术有限公司,数字化改造验收
137,武汉光至科技有限公司,数字化改造验收
138,武汉光谷互连科技有限公司,数字化改造验收
139,武汉光谷信息光电子创新中心有限公司,数字化改造验收
140,武汉光鱼科技有限公司,数字化改造验收
141,武汉克瑞斯光电技术有限公司,数字化改造验收
142,武汉克莱美特创新技术有限公司,数字化改造验收
143,武汉克莱美特环境设备有限公司,数字化改造验收
144,武汉兴力塑胶有限公司,数字化改造验收
145,武汉兴通力电源技术有限公司,数字化改造验收
146,武汉冷记食品有限公司,数字化改造验收
147,武汉凯尔信汽车零部件有限公司,数字化改造验收
148,武汉凯德维斯医学检验实验室有限公司,数字化改造验收
149,武汉凯沃森天窗系统有限公司,数字化改造验收
150,武汉凯芯通半导体技术有限公司,数字化改造验收
151,武汉凯默电气有限公司,数字化改造验收
152,武汉创恒激光智能装备有限公司,数字化改造验收
153,武汉利又德科技有限公司,数字化改造验收
154,武汉加南映科技有限公司,数字化改造验收
155,武汉动力电池再生技术有限公司,数字化改造验收
156,武汉半边天医疗技术发展有限公司,数字化改造验收
157,武汉华中数控股份有限公司,数字化改造验收
158,武汉华仪智能设备有限公司,数字化改造验收
159,武汉华培动力科技有限公司,数字化改造验收
160,武汉华夏精冲技术有限公司,数字化改造验收
161,武汉华威众科电力有限公司,数字化改造验收
162,武汉华威科智能技术有限公司,数字化改造验收
163,武汉华扬动物药业有限责任公司,数字化改造验收
164,武汉华森塑胶有限公司,数字化改造验收
165,武汉华沃电源技术有限公司,数字化改造验收
166,武汉华源电气设备有限责任公司,数字化改造验收
167,武汉华滋东江汽车零部件有限公司,数字化改造验收
168,武汉华美生物工程有限公司,数字化改造验收
169,武汉南星电力科技有限公司,数字化改造验收
170,武汉博奥思精密自动化有限公司,数字化改造验收
171,武汉博瑞环保能源发展有限公司,数字化改造验收
172,武汉博立达汽车饰件有限公司,数字化改造验收
173,武汉博锐机电设备有限公司,数字化改造验收
174,武汉卫亚汽车零部件有限公司,数字化改造验收
175,武汉厚睿生医疗科技有限公司,数字化改造验收
176,武汉友辰汽车零部件有限公司,数字化改造验收
177,武汉双虎涂料股份有限公司,数字化改造验收
178,武汉合美达智能装备有限公司,数字化改造验收
179,武汉吉利汽车部件有限公司,数字化改造验收
180,武汉同信钢结构工程有限公司,数字化改造验收
181,武汉同济中维医药有限责任公司,数字化改造验收
182,武汉同济现代医药科技股份有限公司,数字化改造验收
183,武汉名杰模塑有限公司,数字化改造验收
184,武汉启捷医疗科技有限公司,数字化改造验收
185,武汉吾饮良品企业管理有限公司,数字化改造验收
186,武汉品信电子有限公司,数字化改造验收
187,武汉唯柯医疗科技有限公司,数字化改造验收
188,武汉四创自动控制技术有限责任公司,数字化改造验收
189,武汉国科光领半导体科技有限公司,数字化改造验收
190,武汉圣博莱电子有限公司,数字化改造验收
191,武汉圣普太阳能科技有限公司,数字化改造验收
192,武汉圣禹智慧生态环保股份有限公司,数字化改造验收
193,武汉圣达电气股份有限公司,数字化改造验收
194,武汉地大华睿地学技术有限公司,数字化改造验收
195,武汉大汉口食品有限公司,数字化改造验收
196,武汉天成瑞杰金属制品有限公司,数字化改造验收
197,武汉天泽晟汽车科技有限公司,数字化改造验收
198,武汉天鸣集团有限公司,数字化改造验收
199,武汉太平爱克电线电缆有限责任公司,数字化改造验收
200,武汉奥泽电子有限公司,数字化改造验收
201,武汉好利福食品有限责任公司,数字化改造验收
202,武汉如星科技有限公司,数字化改造验收
203,武汉威动自动化设备有限公司,数字化改造验收
204,武汉孚锐利自动化设备有限公司,数字化改造验收
205,武汉宁美玩家科技有限公司,数字化改造验收
206,武汉宇轩飞速通信技术有限公司,数字化改造验收
207,武汉安佰滋实业有限公司,数字化改造验收
208,武汉安湃光电有限公司,数字化改造验收
209,武汉安靠科技有限公司,数字化改造验收
210,武汉宏海科技股份有限公司,数字化改造验收
211,武汉宏联电线电缆有限公司,数字化改造验收
212,武汉宏韧生物医药股份有限公司,数字化改造验收
213,武汉宝利合创工程有限公司,数字化改造验收
214,武汉宝洁环境工程技术有限公司,数字化改造验收
215,武汉宝钢包装有限公司,数字化改造验收
216,武汉客车制造股份有限公司,数字化改造验收
217,武汉富拉司特汽车零部件有限公司,数字化改造验收
218,武汉小安科技有限公司,数字化改造验收
219,武汉尚赛光电科技有限公司,数字化改造验收
220,武汉尺子科技有限公司,数字化改造验收
221,武汉工大创新科技发展有限公司,数字化改造验收
222,武汉巨全食品原料有限公司,数字化改造验收
223,武汉市三选科技有限公司,数字化改造验收
224,武汉市东亚合成汽车部件有限公司,数字化改造验收
225,武汉市公用电子工程有限责任公司,数字化改造验收
226,武汉市利隆捷精密螺丝制造有限公司,数字化改造验收
227,武汉市华兴特种变压器制造有限公司,数字化改造验收
228,武汉市华源达科技有限公司,数字化改造验收
229,武汉市圣祥电子科技有限公司,数字化改造验收
230,武汉市天虹纸塑彩印有限公司,数字化改造验收
231,武汉市宏达液压气动设备制造有限公司,数字化改造验收
232,武汉市德昌工贸有限责任公司,数字化改造验收
233,武汉市思泰利医疗器械发展有限公司,数字化改造验收
234,武汉市明辉气体科技有限公司,数字化改造验收
235,武汉市昱宸峰科技有限公司,数字化改造验收
236,武汉市正弦电气技术有限公司,数字化改造验收
237,武汉市汉福专用车有限公司,数字化改造验收
238,武汉市海沁医疗科技有限公司,数字化改造验收
239,武汉市盘盛精密智能科技有限公司,数字化改造验收
240,武汉市科迈机械制造有限责任公司,数字化改造验收
241,武汉市美林之星实业有限公司,数字化改造验收
242,武汉市艺茂机械有限公司,数字化改造验收
243,武汉市葆春蜂王浆有限责任公司,数字化改造验收
244,武汉市衡德实业有限公司,数字化改造验收
245,武汉市豪迈电力自动化技术有限责任公司,数字化改造验收
246,武汉市铁研汽车零件有限公司,数字化改造验收
247,武汉市黄鹤电线电缆一厂有限公司,数字化改造验收
248,武汉布朗环境能源有限公司,数字化改造验收
249,武汉希泰智能座舱科技有限公司,数字化改造验收
250,武汉希萌科技有限公司,数字化改造验收
251,武汉康乐药业股份有限公司,数字化改造验收
252,武汉建新赵氏汽车零部件有限公司,数字化改造验收
253,武汉建鑫冶金机械有限公司,数字化改造验收
254,武汉当代华路光电技术有限公司,数字化改造验收
255,武汉微动机器人科技有限公司,数字化改造验收
256,武汉德泰纳新能源技术有限公司,数字化改造验收
257,武汉心浩智能科技有限公司,数字化改造验收
258,武汉恒业通气体设备有限公司,数字化改造验收
259,武汉恒发科技有限公司,数字化改造验收
260,武汉恒泰通技术有限公司,数字化改造验收
261,武汉恒立工程钻具股份有限公司,数字化改造验收
262,武汉恩达通科技有限公司,数字化改造验收
263,武汉惠华三农种业有限公司,数字化改造验收
264,武汉惠尔康扬子江乳业有限公司,数字化改造验收
265,武汉慧康利兹食品有限公司,数字化改造验收
266,武汉成华汽车饰件有限公司,数字化改造验收
267,武汉拓格机电有限公司,数字化改造验收
268,武汉振佳宇恒机器人科技有限公司,数字化改造验收
269,武汉捷特航空科技有限公司,数字化改造验收
270,武汉提爱思全兴汽车零部件有限公司,数字化改造验收
271,武汉攀升鼎承科技有限公司,数字化改造验收
272,武汉敏芯半导体股份有限公司,数字化改造验收
273,武汉敢为科技有限公司,数字化改造验收
274,武汉新五心食品科技有限公司,数字化改造验收
275,武汉新佳豪医疗器械有限公司,数字化改造验收
276,武汉新创元半导体有限公司,数字化改造验收
277,武汉新华扬生物股份有限公司,数字化改造验收
278,武汉新锐合金工具有限公司,数字化改造验收
279,武汉方特工业设备技术有限公司,数字化改造验收
280,武汉旭中旭食品有限责任公司,数字化改造验收
281,武汉时和利电气科技有限公司,数字化改造验收
282,武汉明宇金属件有限公司,数字化改造验收
283,武汉明德生物科技股份有限公司,数字化改造验收
284,武汉易普动力系统有限公司,数字化改造验收
285,武汉星光石油化工设备有限公司,数字化改造验收
286,武汉星创源科技有限公司,数字化改造验收
287,武汉星图精密有限公司,数字化改造验收
288,武汉显捷电子有限公司,数字化改造验收
289,武汉普西芯电子技术有限责任公司,数字化改造验收
290,武汉普迪真空科技有限公司,数字化改造验收
291,武汉景炬电气设备有限公司,数字化改造验收
292,武汉晶顺科技开发有限公司,数字化改造验收
293,武汉智迅创源科技发展股份有限公司,数字化改造验收
294,武汉智领创联科技有限公司,数字化改造验收
295,武汉朗道工业设备有限公司,数字化改造验收
296,武汉木兰环保设备有限公司,数字化改造验收
297,武汉杭久电气有限公司,数字化改造验收
298,武汉杰合电子有限公司,数字化改造验收
299,武汉柏凯生物科技有限公司,数字化改造验收
300,武汉格雅科技有限公司,数字化改造验收
301,武汉梦芯科技有限公司,数字化改造验收
302,武汉森澜生物科技有限公司,数字化改造验收
303,武汉楚为生物科技有限公司,数字化改造验收
304,武汉楚冠捷汽车科技有限公司,数字化改造验收
305,武汉楚凯机械有限公司,数字化改造验收
306,武汉楚凯汽车零部件有限公司,数字化改造验收
307,武汉楚天工业激光设备有限公司,数字化改造验收
308,武汉欣远自控工程有限公司,数字化改造验收
309,武汉正光汽车装备有限公司,数字化改造验收
310,武汉正和瑞达科技有限公司,数字化改造验收
311,武汉正奥汽车电气系统有限公司,数字化改造验收
312,武汉正源高理光学有限公司,数字化改造验收
313,武汉正荣汽车零部件制造有限公司,数字化改造验收
314,武汉正通传动技术有限公司,数字化改造验收
315,武汉武湖电缆有限公司,数字化改造验收
316,武汉武热研热处理科技有限公司,数字化改造验收
317,武汉武耀安全玻璃股份有限公司,数字化改造验收
318,武汉武船特种船艇有限公司,数字化改造验收
319,武汉武钢好生活服务有限公司,数字化改造验收
320,武汉武锅能源工程有限公司,数字化改造验收
321,武汉每通浩瀚测控科技有限公司,数字化改造验收
322,武汉比邻科技发展有限公司,数字化改造验收
323,武汉氛围汽车科技有限公司,数字化改造验收
324,武汉水精灵水产设备有限公司,数字化改造验收
325,武汉永力睿源科技有限公司,数字化改造验收
326,武汉永力科技股份有限公司,数字化改造验收
327,武汉永晴电器有限公司,数字化改造验收
328,武汉永能智翔自动化系统有限公司,数字化改造验收
329,武汉沃兴科技有限公司,数字化改造验收
330,武汉沃捷汽车部件有限公司,数字化改造验收
331,武汉泓铭科技有限公司,数字化改造验收
332,武汉泛洲精密科技股份有限公司,数字化改造验收
333,武汉泰诺福伦机械有限公司,数字化改造验收
334,武汉派乐汉堡食品发展有限公司,数字化改造验收
335,武汉浩利丰机械有限公司,数字化改造验收
336,武汉浮玉精密科技有限公司,数字化改造验收
337,武汉海创电子股份有限公司,数字化改造验收
338,武汉海利特汽车空调配件有限公司,数字化改造验收
339,武汉海威船舶与海洋工程科技有限公司,数字化改造验收
340,武汉海尔热水器有限公司,数字化改造验收
341,武汉海希生物科技有限公司,数字化改造验收
342,武汉海微科技股份有限公司,数字化改造验收
343,武汉海德龙仪表科技有限公司,数字化改造验收
344,武汉海王新能源工程技术有限公司,数字化改造验收
345,武汉海王机电工程技术有限公司,数字化改造验收
346,武汉源兴汽车配件有限公司,数字化改造验收
347,武汉源锦建材科技有限公司,数字化改造验收
348,武汉滨湖电子有限责任公司,数字化改造验收
349,武汉烽火富华电气有限责任公司,数字化改造验收
350,武汉烽火锐拓科技有限公司,数字化改造验收
351,武汉烽理光电技术有限公司,数字化改造验收
352,武汉燎原模塑有限公司,数字化改造验收
353,武汉爱博泰克生物科技有限公司,数字化改造验收
354,武汉爱机新能源汽车有限公司,数字化改造验收
355,武汉爱疆科技有限公司,数字化改造验收
356,武汉特高压电力科技有限公司,数字化改造验收
357,武汉环试检测设备有限公司,数字化改造验收
358,武汉环达电子科技有限公司,数字化改造验收
359,武汉珈创生物技术股份有限公司,数字化改造验收
360,武汉理工氢电科技有限公司,数字化改造验收
361,武汉理工通宇新源动力有限公司,数字化改造验收
362,武汉瑞弘鑫精密制造有限公司,数字化改造验收
363,武汉瑞普汽车部件有限公司,数字化改造验收
364,武汉瑞普赛技术有限公司,数字化改造验收
365,武汉瑞轶电气有限公司,数字化改造验收
366,武汉生一升光电科技有限公司,数字化改造验收
367,武汉生之源生物科技股份有限公司,数字化改造验收
368,武汉登奇机电技术有限公司,数字化改造验收
369,武汉百恒汽车零部件有限公司,数字化改造验收
370,武汉盛信强橡塑有限公司,数字化改造验收
371,武汉盛势启创科技有限公司,数字化改造验收
372,武汉盛大康成医药科技有限公司,数字化改造验收
373,武汉盛帆电子股份有限公司,数字化改造验收
374,武汉相盛科技有限公司,数字化改造验收
375,武汉睿特富连技术有限公司,数字化改造验收
376,武汉研达兴业科技有限公司,数字化改造验收
377,武汉祖旺制衣有限公司,数字化改造验收
378,武汉神动汽车电子电器股份有限公司,数字化改造验收
379,武汉福迪汽车零部件有限公司,数字化改造验收
380,武汉禹工水导激光科技有限公司,数字化改造验收
381,武汉禾达芯微科技发展有限公司,数字化改造验收
382,武汉科前生物股份有限公司,数字化改造验收
383,武汉科尔精密科技有限公司,数字化改造验收
384,武汉科思特仪器股份有限公司,数字化改造验收
385,武汉科浩精密机械制造有限公司,数字化改造验收
386,武汉科源隆盛汽车部件制造有限公司,数字化改造验收
387,武汉科禄格通风设备有限公司,数字化改造验收
388,武汉立世达电力科技有限公司,数字化改造验收
389,武汉筑梦科技有限公司,数字化改造验收
390,武汉精密同创机械有限公司,数字化改造验收
391,武汉精武人家食品工业园有限公司,数字化改造验收
392,武汉精臣智慧标识科技有限公司,数字化改造验收
393,武汉红星杨科技有限公司,数字化改造验收
394,武汉维力克科技有限公司,数字化改造验收
395,武汉维奥制药有限公司,数字化改造验收
396,武汉维志精密制造有限公司,数字化改造验收
397,武汉绿动氢能能源技术有限公司,数字化改造验收
398,武汉网锐检测科技有限公司,数字化改造验收
399,武汉翊晟科技有限公司,数字化改造验收
400,武汉翔星汽车零部件有限公司,数字化改造验收
401,武汉耀皮康桥汽车玻璃有限公司,数字化改造验收
402,武汉耐斯刀具有限公司,数字化改造验收
403,武汉聚和天成汽车零部件有限公司,数字化改造验收
404,武汉育辰飞光电科技有限公司,数字化改造验收
405,武汉能钠智能装备技术股份有限公司,数字化改造验收
406,武汉至驱动力科技有限责任公司,数字化改造验收
407,武汉艾特纸塑包装有限公司,数字化改造验收
408,武汉芯丰精密科技有限公司,数字化改造验收
409,武汉芯树科技有限公司,数字化改造验收
410,武汉英泰斯特电子技术有限公司,数字化改造验收
411,武汉茂恒东安电器有限公司,数字化改造验收
412,武汉菱电汽车电控系统股份有限公司,数字化改造验收
413,武汉菲亚姆电气有限公司,数字化改造验收
414,武汉萃芯微电子有限公司,数字化改造验收
415,武汉西高电器有限公司,数字化改造验收
416,武汉诗兰姆汽车零部件有限公司,数字化改造验收
417,武汉诺博特科技有限公司,数字化改造验收
418,武汉豪迈光电科技有限公司,数字化改造验收
419,武汉贝特尔科技有限责任公司,数字化改造验收
420,武汉贝纳科技有限公司,数字化改造验收
421,武汉贞坤电子有限公司,数字化改造验收
422,武汉赛凯龙节能科技发展有限公司,数字化改造验收
423,武汉轻购云科技有限公司,数字化改造验收
424,武汉达姆科技有限公司,数字化改造验收
425,武汉迈信电气技术有限公司,数字化改造验收
426,武汉迈力特通信有限公司,数字化改造验收
427,武汉迈维代谢生物科技股份有限公司,数字化改造验收
428,武汉迈鑫汽车模具有限责任公司,数字化改造验收
429,武汉迪凯光电科技有限公司,数字化改造验收
430,武汉通威生物科技有限公司,数字化改造验收
431,武汉通测科技有限公司,数字化改造验收
432,武汉速科电气有限公司,数字化改造验收
433,武汉道禾智能设备有限公司,数字化改造验收
434,武汉邢仪新未来电力科技股份有限公司,数字化改造验收
435,武汉酷锘科技有限公司,数字化改造验收
436,武汉金丰汽配有限公司,数字化改造验收
437,武汉金发科技有限公司,数字化改造验收
438,武汉金智达汽车零部件有限公司,数字化改造验收
439,武汉鑫光传感科技有限公司,数字化改造验收
440,武汉鑫恒顺科技有限公司,数字化改造验收
441,武汉鑫润塑业有限公司,数字化改造验收
442,武汉鑫祥旺实业有限责任公司,数字化改造验收
443,武汉钢铁江北集团冷弯型钢有限公司,数字化改造验收
444,武汉钢铁江北集团金属制品有限公司,数字化改造验收
445,武汉钢铁集团轧辊有限责任公司,数字化改造验收
446,武汉钧恒科技有限公司,数字化改造验收
447,武汉铭科精技汽车零部件有限公司,数字化改造验收
448,武汉银桥南海光电有限公司,数字化改造验收
449,武汉银采天纸业股份有限公司,数字化改造验收
450,武汉锂鑫智造工程有限公司,数字化改造验收
451,武汉锂鑫自动化科技有限公司,数字化改造验收
452,武汉锅炉股份有限公司,数字化改造验收
453,武汉锦瑞技术有限公司,数字化改造验收
454,武汉长江光电有限公司,数字化改造验收
455,武汉长江计算科技有限公司,数字化改造验收
456,武汉长电电气有限公司,数字化改造验收
457,武汉长进光子技术股份有限公司,数字化改造验收
458,武汉长锐服装有限公司,数字化改造验收
459,武汉长飞通用电缆有限公司,数字化改造验收
460,武汉阿迪克电子股份有限公司,数字化改造验收
461,武汉雅元食品集团股份有限公司,数字化改造验收
462,武汉零点绿色食品股份有限公司,数字化改造验收
463,武汉雷恩博激光科技有限公司,数字化改造验收
464,武汉青山北湖南丰设备有限公司,数字化改造验收
465,武汉静磁栅机电制造有限公司,数字化改造验收
466,武汉颐光科技有限公司,数字化改造验收
467,武汉颐思谱科技有限公司,数字化改造验收
468,武汉首甲实业发展有限公司,数字化改造验收
469,武汉高明兰光电科技有限公司,数字化改造验收
470,武汉鹏恒包装印务有限公司,数字化改造验收
471,武汉鹏成汽车零部件有限公司,数字化改造验收
472,武汉鼎源智造实业有限公司,数字化改造验收
473,武汉鼎诚电器有限公司,数字化改造验收
474,武钢维尔卡钢绳制品有限公司,数字化改造验收
475,江苏新程(武汉)汽车零部件有限公司,数字化改造验收
476,法睿兰达科技(武汉)有限公司,数字化改造验收
477,泰思科技(武汉)有限公司,数字化改造验收
478,浦项(武汉)汽车配件制造有限公司,数字化改造验收
479,海波重型工程科技股份有限公司,数字化改造验收
480,湖北一末环保实业有限公司,数字化改造验收
481,湖北三六一一应急装备有限公司,数字化改造验收
482,湖北东峻工贸有限公司,数字化改造验收
483,湖北东峻领电科技有限公司,数字化改造验收
484,湖北东湖新动力有限公司,数字化改造验收
485,湖北中通服通信有限公司,数字化改造验收
486,湖北兴屹电气集团有限公司,数字化改造验收
487,湖北兴盛通电气设备有限公司,数字化改造验收
488,湖北军缔悍隆科技发展有限公司,数字化改造验收
489,湖北农发升阳食品有限公司,数字化改造验收
490,湖北华亿电气集团有限公司,数字化改造验收
491,湖北协诚瑞龙科技有限公司,数字化改造验收
492,湖北南远电缆科技有限公司,数字化改造验收
493,湖北吉兴汽车部件有限公司,数字化改造验收
494,湖北唐钢汽车板有限公司,数字化改造验收
495,湖北平安电工实业有限公司,数字化改造验收
496,湖北广济医药科技有限公司,数字化改造验收
497,湖北庞源机械工程有限公司,数字化改造验收
498,湖北弗顿科学技术有限公司,数字化改造验收
499,湖北德创电气有限公司,数字化改造验收
500,湖北方圆科学仪器股份有限公司,数字化改造验收
