id,company_name,industry_tags,business_scope,registered_capital,established_year
78,武汉亮风台信息技术有限公司,"人工智能,AR",AR平台、AI视觉识别、智能眼镜、人工智能应用,1000万元,2019
79,武汉Xreal科技有限公司,"人工智能,AR",AR眼镜、空间显示技术、人工智能应用、人机交互,1000万元,2020
80,武汉虚拟动点科技有限公司,"人工智能,虚拟现实",VR/AR开发、动作捕捉、人工智能应用、数字人,500万元,2019
81,武汉元象科技有限公司,"人工智能,大模型",大模型、多模态AI、3D生成、人工智能应用开发,1000万元,2022
82,武汉光魔科技有限公司,"人工智能,数字人",AI数字人、虚拟主播、深度学习、人工智能应用,500万元,2021
83,武汉硅基智能科技有限公司,"人工智能,数字人",AI数字人、视频生成、深度学习、人工智能应用,500万元,2022
84,武汉智谱AI科技有限公司,"人工智能,大模型",大语言模型、知识引擎、AI推理服务、人工智能应用,1000万元,2022
85,武汉百川智能科技有限公司,"人工智能,大模型",大语言模型、AI对话、知识问答、人工智能应用开发,500万元,2023
86,武汉月之暗面科技有限公司,"人工智能,大模型",大语言模型、长文本AI、智能对话、人工智能应用,500万元,2023
87,武汉旷视天智科技有限公司,"人工智能,安防",AI安防、视频结构化、智能门禁、人工智能应用,500万元,2020
88,武汉眼控科技有限公司,"人工智能,计算机视觉",AI视觉检测、遥感图像分析、计算机视觉、人工智能应用,500万元,2019
89,武汉深兰科技有限公司,"人工智能,机器人",AI机器人、自动驾驶、计算机视觉、人工智能应用,1000万元,2019
90,武汉云天励飞科技有限公司,"人工智能,芯片",AI芯片、视觉AI、智能安防、人工智能应用开发,1000万元,2019
91,武汉奥比中光科技有限公司,"人工智能,3D视觉",3D视觉传感器、人脸识别、人工智能硬件、计算机视觉,1000万元,2019
92,武汉思必驰科技有限公司,"人工智能,语音识别",语音识别、对话式AI、自然语言处理、人工智能应用,1000万元,2019
93,武汉出门问问信息技术有限公司,"人工智能,语音识别",语音交互、智能穿戴、自然语言处理、人工智能应用,1000万元,2018
94,武汉先声互联科技有限公司,"人工智能,语音识别",远场语音识别、语音交互、人工智能应用开发,500万元,2019
95,武汉禾多科技有限公司,"人工智能,自动驾驶",自动驾驶系统、高精地图、人工智能应用、感知融合,1000万元,2020
96,武汉元戎启行科技有限公司,"人工智能,自动驾驶",L4自动驾驶、深度学习、计算机视觉、人工智能应用,1000万元,2020
97,武汉轻舟智航科技有限公司,"人工智能,自动驾驶",自动驾驶方案、感知决策、人工智能应用、高精地图,500万元,2021
98,武汉文远知行科技有限公司,"人工智能,自动驾驶",自动驾驶出租车、L4自动驾驶、人工智能应用开发,1000万元,2020
99,武汉图达通智能科技有限公司,"人工智能,激光雷达",激光雷达、感知系统、自动驾驶、人工智能硬件,2000万元,2020
100,武汉速腾聚创科技有限公司,"人工智能,激光雷达",激光雷达、3D感知、自动驾驶、人工智能硬件,1000万元,2019
