id,company_name,industry_tags,business_scope,registered_capital,established_date,total_score,rating_level,tech_score,funding_score,intent_score,team_score,industry_score,ai_job_ratio,cloud_provider,has_github_org,has_tech_blog,hire_count,news_count,dig_bid_count
125,武汉华工智云科技有限公司,"['软件开发', '云计算']",云计算平台、软件开发、信息技术服务、数据治理,1000万元,2017-01-01,35,C,8,5,13,5,4,0.0000,,False,False,12,7,1
76,武汉中地数码科技有限公司,"['软件开发', 'GIS']",MapGIS平台开发、地理信息系统、国土资源信息化、软件开发,1000万元,2005-01-01,35,C,8,5,15,5,2,0.0000,,False,False,8,6,1
121,武汉数睿数据科技有限公司,"['低代码', '大数据']",低代码数据平台、大数据分析、软件开发、信息技术咨询,500万元,2020-01-01,35,C,8,0,18,5,4,0.0000,,False,False,10,7,1
58,武汉数梦科技有限公司,"['软件开发', '大数据']",政务大数据平台开发、软件开发、信息技术服务、数据治理,1000万元,2017-01-01,35,C,8,5,13,5,4,0.0000,,False,False,10,7,1
80,武汉华胜天成信息技术有限公司,"['云计算', '信息技术']",云计算服务、IT运维、系统集成、信息技术咨询,1000万元,2015-01-01,34,C,8,5,18,0,3,0.0000,,False,False,4,7,1
81,武汉太极信息技术有限公司,"['系统集成', '信息技术']",政务信息化、系统集成、软件开发、信息技术服务,2000万元,2014-01-01,32,C,8,5,10,5,4,0.0000,,False,False,8,7,1
72,武汉拓维信息系统有限公司,"['软件开发', '信息技术']",教育信息化、软件开发、系统集成、信息技术服务,1000万元,2015-01-01,32,C,8,5,10,5,4,0.0000,,False,False,8,6,1
50,武汉文思海辉信息技术有限公司,"['软件开发', '信息技术']",软件外包、数字化咨询、信息技术服务、软件开发,2000万元,2013-01-01,32,C,8,5,10,5,4,0.0000,,False,False,8,15,1
79,武汉国电南自信息技术有限公司,"['系统集成', '信息技术']",电力行业信息化、系统集成、软件开发、自动化控制,2000万元,2013-01-01,32,C,8,5,10,5,4,0.0000,,False,False,8,6,1
78,武汉南瑞信息技术有限公司,"['系统集成', '信息技术']",电力信息化、系统集成、软件开发、信息技术服务,3000万元,2012-01-01,32,C,8,5,10,5,4,0.0000,,False,False,8,7,1
74,武汉全通教育信息技术有限公司,"['软件开发', '教育信息化']",教育信息化平台、软件开发、信息技术咨询、在线教育,1000万元,2014-01-01,30,C,8,5,10,5,2,0.0000,,False,False,8,7,1
114,武汉开目信息技术有限公司,"['软件开发', '制造业信息化']",制造业信息化软件、CAD/CAPP软件、信息技术服务,1000万元,2006-01-01,30,C,5,5,15,5,0,0.0000,,False,False,8,7,1
115,武汉天喻软件有限公司,"['软件开发', '教育信息化']",教育信息化、数字校园软件、软件开发、信息技术服务,1000万元,2008-01-01,30,C,8,5,10,5,2,0.0000,,False,False,8,6,1
117,武汉简道云信息技术有限公司,"['低代码', '软件开发']",低代码平台、表单工具、软件开发、信息技术咨询,500万元,2019-01-01,30,C,8,0,15,5,2,0.0000,,False,False,8,7,0
94,武汉多牛网络科技有限公司,"['互联网', '媒体']",互联网媒体平台、内容分发、软件开发、信息技术服务,1000万元,2017-01-01,30,C,8,5,10,5,2,0.0000,,False,False,8,7,1
84,武汉东华软件有限公司,"['软件开发', '系统集成']",行业应用软件、系统集成、信息技术服务、数字化咨询,2000万元,2014-01-01,29,C,5,5,10,5,4,0.0000,,False,False,8,8,1
116,武汉瑞景信息技术有限公司,"['软件开发', '信息技术']",政务信息化软件、软件开发、信息技术咨询、系统集成,500万元,2015-01-01,27,C,8,0,10,5,4,0.0000,,False,False,8,7,1
113,武汉联奕科技有限公司,"['软件开发', '信息技术']",教育信息化软件、软件开发、信息技术服务、系统集成,500万元,2016-01-01,27,C,8,0,10,5,4,0.0000,,False,False,8,7,1
82,武汉中国软件技术服务有限公司,"['软件开发', '信息技术']",软件技术服务、信息技术咨询、系统集成、软件开发,1500万元,2013-01-01,27,C,8,5,5,5,4,0.0000,,False,False,8,7,0
70,武汉纷享销客科技有限公司,"['SaaS', '软件开发']",CRM软件服务、SaaS平台开发、信息技术咨询,1000万元,2017-01-01,25,C,5,5,10,5,0,0.0000,,False,False,8,8,0
54,武汉用友网络科技有限公司,"['软件开发', 'SaaS']",企业ERP软件、财务管理软件、SaaS服务、信息技术咨询,3000万元,2013-01-01,25,C,5,5,10,5,0,0.0000,,False,False,8,8,0
111,武汉光庭信息技术有限公司,"['软件开发', '汽车电子']",汽车电子软件、智能驾驶软件、软件开发、信息技术服务,1000万元,2016-01-01,25,C,8,5,5,5,2,0.1000,,False,False,8,8,0
73,武汉视源电子科技有限公司,"['软件开发', '智能硬件']",智能交互平板软件、软件开发、信息技术服务,2000万元,2017-01-01,25,C,8,5,5,5,2,0.1000,,False,False,8,6,0
69,武汉有赞网络科技有限公司,"['SaaS', '电子商务']",电商SaaS服务、软件开发、互联网技术服务、数字营销,1000万元,2018-01-01,25,C,8,5,5,5,2,0.0000,,False,False,8,7,0
105,武汉微盟信息技术有限公司,"['SaaS', '数字营销']",微信生态SaaS、数字营销平台、软件开发、信息技术咨询,1000万元,2018-01-01,25,C,8,5,5,5,2,0.0000,,False,False,8,7,0
52,武汉诚迈科技有限公司,"['软件开发', '嵌入式']",嵌入式软件开发、移动终端软件、智能座舱软件、信息技术服务,2000万元,2014-01-01,25,C,8,5,5,5,2,0.1000,,False,False,8,16,0
106,武汉有赞信息技术有限公司,"['SaaS', '电子商务']",电商SaaS服务、支付技术服务、软件开发、信息技术咨询,1000万元,2017-01-01,25,C,8,5,5,5,2,0.0000,,False,False,8,7,0
100,武汉领健信息技术有限公司,"['SaaS', '医疗信息化']",口腔行业SaaS、医疗信息化、软件开发、信息技术咨询,500万元,2019-01-01,25,C,8,0,10,5,2,0.0000,,False,False,8,7,1
77,武汉长城信息系统有限公司,"['系统集成', '信息技术']",信息系统集成、信息技术服务、软件开发、网络安全,2000万元,2010-01-01,24,C,8,5,0,5,6,0.0000,,False,False,8,6,0
40,小米科技(武汉)有限公司,"['互联网', '智能硬件']",移动互联网技术开发、智能硬件研发、软件开发、信息技术服务,20000万元,2017-01-01,24,C,8,10,0,5,1,0.1000,,False,False,8,7,0
45,武汉金山软件有限公司,"['软件开发', '互联网']",办公软件开发、云服务、互联网技术开发、信息技术服务,5000万元,2018-01-01,23,C,8,8,0,5,2,0.0000,,False,False,10,14,0
56,武汉启明星辰信息技术有限公司,"['网络安全', '软件开发']",网络安全产品研发、信息安全服务、软件开发、信息技术咨询,1000万元,2017-01-01,22,C,8,5,0,5,4,0.0000,,False,False,8,8,0
53,武汉中科软科技有限公司,"['软件开发', '信息技术']",保险行业软件、信息技术服务、软件开发、系统集成,1000万元,2016-01-01,22,C,8,5,0,5,4,0.0000,,False,False,8,7,0
65,武汉青藤信息技术有限公司,"['网络安全', '软件开发']",网络安全技术开发、软件开发、信息技术服务、数据安全,800万元,2017-01-01,22,C,8,0,5,5,4,0.0000,,False,False,10,7,0
104,武汉得物信息技术有限公司,"['互联网', '电子商务']",电商交易平台、鉴定技术服务、软件开发、信息技术咨询,2000万元,2019-01-01,22,C,10,5,0,5,2,0.0000,腾讯云,False,True,8,7,0
107,武汉纬创软件技术有限公司,"['软件开发', '信息技术']",软件外包、信息技术服务、系统集成、软件开发,1000万元,2014-01-01,22,C,8,5,0,5,4,0.0000,,False,False,8,7,0
59,武汉慧联无限科技有限公司,"['物联网', '软件开发']",物联网平台开发、软件开发、信息技术服务、智能硬件,1500万元,2016-01-01,21,C,8,5,0,5,3,0.1000,,False,False,8,8,0
55,武汉金蝶软件有限公司,"['软件开发', 'SaaS']",企业管理软件、云ERP服务、财务软件、信息技术咨询,2000万元,2014-01-01,20,C,5,5,5,5,0,0.0000,,False,False,10,8,0
128,武汉多益网络科技有限公司,"['互联网', '游戏']",网络游戏开发、互联网技术服务、软件开发、数字娱乐,1000万元,2011-01-01,20,C,8,5,0,5,2,0.0000,,False,False,8,0,0
96,武汉乐享互联网科技有限公司,"['互联网', '软件开发']",互联网应用开发、软件开发、信息技术咨询、数据分析,500万元,2019-01-01,20,C,8,0,5,5,2,0.0000,,False,False,10,7,0
98,武汉慧策信息技术有限公司,"['SaaS', '电子商务']",电商ERP服务、SaaS平台开发、信息技术咨询、数据分析,1000万元,2018-01-01,20,C,5,5,5,5,0,0.0000,,False,False,6,7,0
99,武汉聚水潭网络科技有限公司,"['SaaS', '电子商务']",电商ERP系统、仓储管理软件、SaaS服务、信息技术咨询,1000万元,2018-01-01,20,C,5,5,5,5,0,0.0000,,False,False,8,5,0
46,武汉百纳信息科技有限公司,"['软件开发', '移动互联网']",移动互联网应用开发、软件开发、信息技术咨询服务,1000万元,2010-01-01,20,C,8,5,0,5,2,0.0000,,False,False,8,15,0
102,武汉小满科技有限公司,"['SaaS', '国际贸易']",外贸CRM系统、SaaS平台开发、信息技术咨询、数据分析,500万元,2017-01-01,20,C,5,0,10,5,0,0.0000,,False,False,6,7,0
103,武汉飞书科技有限公司,"['SaaS', '协同办公']",协同办公软件、SaaS平台、软件开发、信息技术服务,1000万元,2020-01-01,20,C,8,5,0,5,2,0.0000,,False,False,8,7,0
135,武汉华宇信息技术有限公司,"['软件开发', '信息技术']",法律行业软件、电子政务软件、信息技术服务、软件开发,1000万元,2015-01-01,20,C,8,5,0,5,2,0.0000,,False,False,8,0,0
132,武汉游族信息技术有限公司,"['互联网', '游戏']",网络游戏开发、互联网技术服务、软件开发、数字娱乐,1000万元,2017-01-01,20,C,8,5,0,5,2,0.0000,,False,False,8,0,0
37,武汉斗鱼网络科技有限公司,"['互联网', '软件开发']",网络直播平台运营、互联网技术开发、软件开发、信息技术咨询服务,2234万元,2015-01-01,20,C,8,5,0,5,2,0.0000,,False,False,8,13,0
127,武汉盛天网络科技有限公司,"['互联网', '游戏']",网络游戏开发、互联网技术服务、软件开发、数字娱乐,1000万元,2010-01-01,20,C,8,5,0,5,2,0.0000,,False,False,8,0,0
126,武汉知音号科技有限公司,"['互联网', '文化旅游']",文旅互联网平台、软件开发、数字内容服务、信息技术咨询,1000万元,2018-01-01,20,C,8,5,0,5,2,0.0000,,False,False,8,0,0
120,武汉宜创科技有限公司,"['低代码', '软件开发']",低代码开发平台、可视化编程、软件开发、信息技术服务,300万元,2020-01-01,20,C,8,0,5,5,2,0.0000,,False,False,8,7,0
118,武汉氚云信息技术有限公司,"['低代码', '软件开发']",低代码平台、业务流程自动化、软件开发、信息技术服务,500万元,2019-01-01,20,C,8,0,5,5,2,0.0000,,False,False,8,6,0
51,武汉博彦科技信息技术有限公司,"['软件开发', '信息技术']",软件测试、信息技术服务、软件开发、数据分析,1000万元,2015-01-01,20,C,8,5,0,5,2,0.0000,,False,False,10,14,0
87,武汉斑马快跑科技有限公司,"['互联网', '出行']",互联网出行平台、软件开发、信息技术服务、数据分析,2000万元,2015-01-01,20,C,8,5,0,5,2,0.0000,,False,False,10,7,0
88,武汉宁美网络科技有限公司,"['互联网', '电子商务']",电脑电商、互联网零售、软件开发、信息技术服务,1000万元,2012-01-01,20,C,8,5,0,5,2,0.0000,,False,False,8,7,0
89,武汉卷皮网络科技有限公司,"['互联网', '电子商务']",时尚电商、互联网零售、软件开发、数据分析,1000万元,2014-01-01,20,C,8,5,0,5,2,0.0000,,False,False,10,7,0
91,武汉极光网络科技有限公司,"['互联网', '软件开发']",推送服务、开发者服务、软件开发、信息技术咨询,1000万元,2017-01-01,20,C,8,5,0,5,2,0.0000,,False,False,8,8,0
60,武汉极意网络科技有限公司,"['互联网', '软件开发']",互联网验证服务、软件开发、信息技术咨询、数据安全,1000万元,2015-01-01,20,C,8,5,0,5,2,0.0000,,False,False,10,7,0
47,武汉光谷软件园科技有限公司,"['软件开发', '信息技术']",软件园区运营、信息技术服务、企业孵化、软件开发,2000万元,2016-01-01,20,C,8,5,0,5,2,0.0000,,False,False,8,8,0
112,武汉海默科技有限公司,"['软件开发', '信息技术']",软件外包、信息技术咨询、软件开发、系统集成,500万元,2018-01-01,17,D,8,0,0,5,4,0.0000,,False,False,8,7,0
57,武汉易思达科技有限公司,"['软件开发', '信息技术']",软件开发、信息技术咨询、计算机系统集成、数据处理,500万元,2018-01-01,17,D,8,0,0,5,4,0.0000,,False,False,10,6,0
133,武汉尚德科技有限公司,"['软件开发', '信息技术']",软件开发、信息技术咨询、计算机系统集成、数据分析,500万元,2019-01-01,17,D,8,0,0,5,4,0.0000,,False,False,10,0,0
95,武汉花桥网络技术有限公司,"['互联网', '软件开发']",互联网应用开发、软件开发、信息技术服务、系统集成,500万元,2018-01-01,17,D,8,0,0,5,4,0.0000,,False,False,8,7,0
62,武汉佰钧成技术有限责任公司,"['软件开发', '信息技术']",软件外包、信息技术服务、软件开发、系统集成,500万元,2011-01-01,17,D,8,0,0,5,4,0.0000,,False,False,8,6,0
109,武汉易宝软件有限公司,"['软件开发', '信息技术']",金融软件外包、信息技术服务、软件开发、系统集成,500万元,2015-01-01,17,D,8,0,0,5,4,0.0000,,False,False,8,6,0
66,武汉天耀软件有限公司,"['软件开发', '信息技术']",企业管理软件开发、信息技术咨询、系统集成,300万元,2012-01-01,17,D,8,0,0,5,4,0.0000,,False,False,8,7,0
75,武汉超图软件有限公司,"['软件开发', 'GIS']",GIS软件开发、地理信息系统、空间数据服务、信息技术咨询,800万元,2016-01-01,15,D,8,0,0,5,2,0.0000,,False,False,10,7,0
64,武汉微果网络科技有限公司,"['互联网', '软件开发']",互联网应用开发、软件开发、信息技术咨询、数字营销,500万元,2018-01-01,15,D,8,0,0,5,2,0.0000,,False,False,8,7,0
61,武汉梦芯科技有限公司,"['软件开发', '信创']",信创软件开发、国产操作系统适配、信息技术服务,800万元,2019-01-01,15,D,8,0,0,5,2,0.0000,,False,False,8,7,0
90,武汉秀派网络科技有限公司,"['互联网', '电子商务']",电子商务平台、互联网技术服务、软件开发,500万元,2016-01-01,15,D,8,0,0,5,2,0.0000,,False,False,8,6,0
92,武汉网福科技有限公司,"['互联网', '软件开发']",互联网应用开发、软件开发、信息技术咨询、数字营销,500万元,2018-01-01,15,D,8,0,0,5,2,0.0000,,False,False,8,7,0
93,武汉爱奇互联网科技有限公司,"['互联网', '软件开发']",互联网技术服务、软件开发、信息技术咨询、数据分析,500万元,2019-01-01,15,D,8,0,0,5,2,0.0000,,False,False,10,7,0
101,武汉店小秘信息技术有限公司,"['SaaS', '电子商务']",跨境电商ERP、SaaS平台运营、软件开发、信息技术咨询,500万元,2018-01-01,15,D,8,0,0,5,2,0.0000,,False,False,8,7,0
136,武汉法智易科技有限公司,"['软件开发', '法律科技']",法律科技平台、合同管理软件、信息技术服务、软件开发,500万元,2019-01-01,15,D,8,0,0,5,2,0.0000,,False,False,8,0,0
108,武汉凌佳科技有限公司,"['软件开发', '信息技术']",软件外包、信息技术服务、软件开发、数据分析,500万元,2016-01-01,15,D,8,0,0,5,2,0.0000,,False,False,10,7,0
110,武汉安胜信达科技有限公司,"['软件开发', '信息技术']",软件测试、信息技术服务、质量保障、软件开发,300万元,2017-01-01,15,D,8,0,0,5,2,0.0000,,False,False,8,7,0
122,武汉智业软件有限公司,"['软件开发', '信息技术']",建筑行业软件、BIM软件、信息技术咨询、软件开发,500万元,2015-01-01,15,D,8,0,0,5,2,0.0000,,False,False,8,7,0
123,武汉建研软件有限公司,"['软件开发', '建筑业信息化']",建筑工程软件、结构分析软件、信息技术服务,500万元,2012-01-01,15,D,5,0,5,5,0,0.0000,,False,False,8,7,0
124,武汉同享软件有限公司,"['软件开发', '信息技术']",CAD软件、设计工具、软件开发、信息技术服务,500万元,2008-01-01,15,D,8,0,0,5,2,0.0000,,False,False,8,7,0
97,武汉金融港信息技术有限公司,"['金融科技', '软件开发']",金融行业软件、风控系统开发、信息技术咨询、数据分析,2000万元,2017-01-01,15,D,5,5,0,5,0,0.0000,,False,False,10,7,0
129,武汉极光互娱网络科技有限公司,"['互联网', '游戏']",手机游戏开发、互联网技术服务、软件开发,500万元,2017-01-01,15,D,8,0,0,5,2,0.0000,,False,False,8,0,0
130,武汉掌游科技有限公司,"['互联网', '游戏']",手机游戏开发、互联网技术服务、软件开发,500万元,2015-01-01,15,D,8,0,0,5,2,0.0000,,False,False,8,0,0
131,武汉微派网络科技有限公司,"['互联网', '游戏']",休闲游戏开发、互联网技术服务、软件开发,500万元,2016-01-01,15,D,8,0,0,5,2,0.0000,,False,False,8,0,0
134,武汉同望信息技术有限公司,"['软件开发', '信息技术']",工程造价软件、项目管理软件、信息技术服务、软件开发,500万元,2011-01-01,15,D,8,0,0,5,2,0.0000,,False,False,8,0,0
68,武汉微擎网络科技有限公司,"['SaaS', '软件开发']",SaaS平台运营、软件开发、互联网技术服务、小程序开发,500万元,2019-01-01,15,D,8,0,0,5,2,0.0000,,False,False,8,7,0
119,武汉轻流科技有限公司,"['低代码', '软件开发']",低代码平台、工作流引擎、软件开发、信息技术咨询,500万元,2019-01-01,15,D,8,0,0,5,2,0.0000,,False,False,8,7,0
63,武汉光谷创意产业投资有限公司,"['互联网', '软件开发']",创意产业投资、互联网技术开发、软件服务、企业孵化,5000万元,2015-01-01,13,D,0,8,0,5,0,0.0000,,False,False,8,8,0
39,武汉达梦数据库有限公司,"['数据库', '软件']",数据库管理系统软件、数据集成软件、数据治理软件的研发、销售及技术服务,7050万元,2000-01-01,13,D,0,8,0,5,0,0.0000,,False,False,10,8,0
44,武汉绿盟科技有限公司,"['网络安全', '信息技术']",网络安全产品研发、信息安全服务、信息技术咨询服务,1000万元,2020-01-01,12,D,5,5,0,0,2,0.0000,,False,False,2,8,0
35,武汉人工智能有限公司,['人工智能'],,,,10,D,0,0,10,0,0,0.0000,,False,False,4,15,0
23,武汉军山人工智能产业发展有限公司,['人工智能'],,,,10,D,0,0,10,0,0,0.0000,,False,False,4,14,0
38,腾讯科技(武汉)有限公司,"['互联网', '软件开发']",计算机软硬件技术开发、销售；互联网技术开发；信息技术咨询服务,1000万元,2012-01-01,10,D,5,5,0,0,0,0.0000,,False,False,4,6,0
25,武汉三六零人工智能科技有限公司,['人工智能'],,,,5,D,0,0,5,0,0,0.0000,,False,False,4,15,0
24,武汉本初子午人工智能科技有限公司,['人工智能'],,,,5,D,0,0,5,0,0,0.0000,,False,False,4,14,0
36,武汉慧联无限人工智能科技股份有限公司,['人工智能'],,,,0,D,0,0,0,0,0,0.0000,,False,False,4,15,0
