id,company_name,industry_tags,business_scope,registered_capital,established_year
37,武汉曙光信息产业有限公司,"服务器,高性能计算",高性能计算机、服务器、存储设备、云计算平台,5000万元,2016
38,武汉超聚变数字技术有限公司,"服务器,云计算",服务器、液冷技术、云计算基础设施、信息技术服务,5000万元,2022
39,武汉依迅北斗时空智能有限公司,"物联网,北斗",北斗定位服务、时空大数据、物联网应用、智能交通,1000万元,2016
40,武汉光谷信息技术股份有限公司,"物联网,智慧城市",物联网平台、智慧城市解决方案、数据采集、信息技术服务,2000万元,2015
41,武汉物联港科技有限公司,"物联网,智慧园区",物联网平台、智慧园区管理、传感器网络、信息技术服务,500万元,2019
42,武汉车联网信息技术有限公司,"物联网,车联网",车联网平台、智能网联汽车、V2X通信、信息技术服务,1000万元,2020
43,武汉智联万通科技有限公司,"物联网,智慧交通",智慧交通、物联网感知、车路协同、信息技术服务,500万元,2019
44,武汉芯泰科技有限公司,"物联网,通信芯片",物联网通信芯片、无线传感网络、低功耗通信,1000万元,2018
45,武汉极目云科技有限公司,"物联网,智慧农业",智慧农业物联网、无人机植保、环境监测、信息技术服务,500万元,2019
46,武汉易瑞信息技术有限公司,"物联网,智慧能源",智慧能源管理、物联网采集、能源大数据、信息技术服务,500万元,2018
47,武汉导航与位置服务工业技术研究院,"北斗,位置服务",北斗位置服务、导航技术、时空信息、高精度定位,2000万元,2017
48,武汉依迅北斗信息技术有限公司,"北斗,位置服务",北斗定位终端、位置服务、车辆监管、地理信息,500万元,2015
49,武汉六九传感科技有限公司,"物联网,传感器",MEMS传感器、物联网终端、数据采集、智能感知,500万元,2017
50,武汉光谷航天激光科技有限公司,"激光,卫星",卫星激光通信、空间光通信、激光雷达,2000万元,2019
51,武汉容联易通信息技术有限公司,"通信,云通信",云通信平台、CPaaS服务、视频会议、即时通讯,1000万元,2018
52,武汉融云信息技术有限公司,"通信,即时通讯",即时通讯云、实时音视频、推送服务、信息技术服务,1000万元,2019
53,武汉声网信息技术有限公司,"通信,实时音视频",实时音视频SDK、RTC服务、互动直播、信息技术服务,1000万元,2019
54,武汉七牛云信息技术有限公司,"云计算,CDN",对象存储、CDN加速、视频云服务、云计算服务,1000万元,2018
55,武汉又拍云信息技术有限公司,"云计算,CDN",CDN加速、云存储、图片处理、云计算服务,500万元,2018
56,武汉海能达通信技术有限公司,"通信,专网",专网通信设备、对讲机、调度系统、应急通信,2000万元,2019
57,武汉科东软件有限公司,"通信,电力通信",电力通信软件、配网自动化、调度系统、信息技术服务,500万元,2013
58,武汉慧智电子有限公司,"通信,电子",通信电子产品、电子元器件、信息技术服务,500万元,2015
59,武汉凌云科技集团有限责任公司,"通信,光电",光电技术、通信设备、激光技术、光学仪器,5000万元,2003
60,武汉光电工研院有限公司,"通信,光电",光电技术研发、技术转移、科技服务、光电产品,2000万元,2016
61,武汉世纪乾通技术有限公司,"通信,网络优化",通信网络优化、网络运维、信息技术服务,500万元,2017
62,武汉宜通世纪科技有限公司,"通信,网络运维",通信网络运维、物联网连接服务、信息技术服务,1000万元,2016
63,武汉华星创业通信技术有限公司,"通信,网络优化",网络优化服务、通信工程、信息技术服务,500万元,2015
64,武汉三维通信技术有限公司,"通信,网络设备",通信网络设备、网管系统、信息技术服务,1000万元,2014
65,武汉通建信息技术有限公司,"通信,工程",通信工程建设、网络集成、信息技术服务,1000万元,2012
66,武汉国盾量子信息技术有限公司,"通信,量子通信",量子密钥分发、量子保密通信、量子安全产品,2000万元,2020
67,武汉国科量子信息技术有限公司,"通信,量子通信",量子通信网络、量子加密、信息安全、信息技术服务,1000万元,2020
68,武汉长虹信息技术有限公司,"工业互联网,智能制造",工业互联网平台、智能制造解决方案、信息技术服务,2000万元,2019
69,武汉树根互联技术有限公司,"工业互联网,物联网",工业互联网平台、设备互联、大数据分析、信息技术服务,2000万元,2019
70,武汉蓝卓数字科技有限公司,"工业互联网,智能制造",工业操作系统、supOS平台、智能制造、信息技术服务,1000万元,2020
71,武汉忽米网络科技有限公司,"工业互联网,智能制造",工业互联网平台、标识解析、智能制造、信息技术服务,1000万元,2020
72,武汉摩尔元数科技有限公司,"工业互联网,低代码",工业低代码平台、MES系统、智能制造、信息技术服务,1000万元,2019
73,武汉是德科技有限公司,"通信,测试仪器",通信测试仪器、网络分析仪、电子测量设备,2000万元,2018
74,武汉罗德与施瓦茨科技有限公司,"通信,测试仪器",无线通信测试、频谱分析仪、信号发生器,1000万元,2019
75,武汉思博伦通信技术有限公司,"通信,导航测试",GNSS模拟器、导航测试设备、无线测试方案,1000万元,2019
76,武汉邮电规划设计有限公司,"通信,设计",通信网络设计、信息化咨询、系统集成、信息技术服务,1000万元,2008
77,湖北邮电规划设计有限公司,"通信,设计",通信工程设计、信息化咨询、网络规划、信息技术服务,2000万元,2005
78,武汉虹服技术有限公司,"通信,运维",通信运维服务、信息技术服务、网络维护,1000万元,2017
79,武汉虹远通信有限公司,"通信,设备",通信设备制造、光通信产品、信息技术服务,1000万元,2015
80,武汉锐明技术有限公司,"网络设备,无线",无线网络设备、WiFi解决方案、网络管理、信息技术服务,500万元,2018
81,武汉优倍快网络技术有限公司,"网络设备,无线",企业WiFi、SD-WAN、网络管理、信息技术服务,500万元,2019
82,武汉迈普视源科技有限公司,"网络设备,数据通信",数据通信设备、路由器、网络解决方案、信息技术服务,1000万元,2017
83,武汉盛科网络科技有限公司,"网络设备,SDN",SDN交换机、网络操作系统、白盒交换机、信息技术服务,1000万元,2017
84,武汉华三通信技术有限公司,"网络设备,SDN",SDN控制器、网络虚拟化、云计算网络、信息技术服务,2000万元,2018
85,武汉星链科技有限责任公司,"通信,卫星互联网",低轨卫星通信、卫星互联网、空间信息技术,5000万元,2021
86,武汉银河航天科技有限公司,"通信,卫星互联网",卫星制造、卫星互联网、空间通信技术,10000万元,2022
87,武汉数安科技有限公司,"网络安全,数据安全",数据安全、通信加密、隐私计算、信息技术服务,500万元,2019
88,武汉观源科技有限公司,"网络安全,密码",密码产品、安全通信、数据加密、信息技术服务,500万元,2018
89,武汉天微科技有限公司,"网络安全,芯片安全",安全芯片、可信计算、密码模块、信息技术服务,500万元,2019
90,武汉亚信软件有限公司,"通信,软件",电信软件、5G核心网软件、运营支撑系统、信息技术服务,3000万元,2016
91,武汉中兴软件技术有限公司,"通信,软件",通信软件、网管系统、无线优化、信息技术服务,2000万元,2015
92,武汉华为软件技术有限公司,"通信,软件",通信软件、5G解决方案、网络管理、信息技术服务,5000万元,2016
93,武汉大唐软件技术有限公司,"通信,软件",通信软件、核心网、网管系统、信息技术服务,1000万元,2014
94,武汉网宿科技有限公司,"云计算,边缘计算",边缘计算、CDN、云计算服务、信息技术服务,2000万元,2018
95,武汉白山云科技有限公司,"云计算,边缘计算",边缘云服务、SD-WAN、云计算服务、信息技术服务,1000万元,2019
96,武汉字节跳动边缘计算有限公司,"云计算,边缘计算",边缘计算、CDN、内容分发、信息技术服务,2000万元,2020
97,武汉长江通信产业集团有限公司,"通信,产业投资",通信产业投资、科技园区、信息技术服务,10000万元,2003
98,武汉光谷新通信技术研究院,"通信,研发",新一代通信技术研发、技术转移、科技服务,3000万元,2020
99,武汉光电工研院智能制造有限公司,"光电,智能制造",光电智能制造、激光加工、信息技术服务,1000万元,2018
100,武汉虹润电子有限公司,"通信,电子元器件",通信电子元器件、射频器件、信息技术服务,500万元,2014
