id,company_name,industry_tags,business_scope,registered_capital,established_year
33,武汉普耐电子有限公司,"电子,PCB",PCB制造、多层电路板、高频电路板,1000万元,2012
34,武汉崇耀电子科技有限公司,"电子,连接器",电子连接器、线缆组件、电子元器件,500万元,2016
35,武汉虹信电子有限公司,"电子,通信",通信电子设备、射频模块、信息技术服务,1000万元,2014
36,武汉国炬电子有限公司,"电子,电源",电源模块、DC-DC转换器、电力电子器件,500万元,2015
37,武汉永力电子有限公司,"电子,电源",开关电源、电源适配器、电力电子技术,500万元,2013
38,武汉中科凌霄科技有限公司,"嵌入式,无人机",无人机飞控系统、嵌入式开发、智能硬件,1000万元,2017
39,武汉极智嘉机器人有限公司,"机器人,智能硬件",移动机器人、仓储AGV、智能物流、嵌入式开发,2000万元,2019
40,武汉擎朗智能科技有限公司,"机器人,餐饮",餐饮服务机器人、智能配送、嵌入式开发,1000万元,2020
41,武汉思岚科技有限公司,"机器人,激光雷达",激光雷达、SLAM导航、机器人定位、智能硬件,1000万元,2019
42,武汉仙工智能科技有限公司,"机器人,AMR",AMR移动机器人、机器人调度、嵌入式开发,500万元,2020
43,武汉木牛流马机器人科技有限公司,"机器人,物流",物流机器人、自动分拣、嵌入式开发、智能硬件,500万元,2019
44,武汉精测电子集团股份有限公司,"电子,测试",电子测试设备、面板检测、半导体检测,20000万元,2006
45,武汉联动设计技术有限公司,"电子,EDA",EDA工具、芯片设计辅助、电子设计自动化,500万元,2018
46,武汉芯和半导体科技有限公司,"芯片,EDA",EDA仿真软件、射频仿真、电磁仿真,1000万元,2019
47,武汉国佳电子测试有限公司,"电子,测试",电子测试服务、可靠性测试、电磁兼容测试,500万元,2016
48,武汉海光信息技术有限公司,"芯片,处理器",高性能处理器、服务器CPU、集成电路设计,5000万元,2018
49,武汉高德智感科技有限公司,"红外,热成像",红外热成像仪、智能测温、红外探测器,1000万元,2018
50,武汉光华微电子有限公司,"红外,探测器",红外探测器、光电传感器、微电子器件,1000万元,2015
51,武汉久之洋红外系统股份有限公司,"红外,光学",红外光学系统、热成像设备、光电检测,5000万元,2008
52,武汉锐科光纤激光技术股份有限公司,"激光,光纤激光器",光纤激光器、激光加工、光学器件,10000万元,2014
53,武汉蔚澜新能源汽车科技有限公司,"汽车电子,新能源",新能源汽车电控、BMS系统、嵌入式开发,5000万元,2019
54,武汉亿咖通科技有限公司,"汽车电子,智能座舱",智能座舱系统、车机软件、汽车电子、嵌入式开发,2000万元,2018
55,武汉东软睿驰汽车技术有限公司,"汽车电子,自动驾驶",自动驾驶基础软件、智能网联、汽车电子,2000万元,2019
56,武汉智驾科技有限公司,"汽车电子,ADAS",ADAS系统、智能驾驶、汽车电子、嵌入式开发,1000万元,2020
57,武汉联合电子科技有限公司,"汽车电子,电控",汽车电控系统、发动机控制器、嵌入式开发,3000万元,2016
58,武汉航盛电子有限公司,"汽车电子,音响",汽车音响系统、车载电子、智能硬件,1000万元,2015
59,武汉华海清科科技有限公司,"半导体设备,CMP",CMP抛光设备、晶圆减薄设备、半导体装备,2000万元,2020
60,武汉中微半导体设备有限公司,"半导体设备,刻蚀",等离子刻蚀设备、MOCVD设备、半导体装备,3000万元,2020
61,武汉盛美半导体设备有限公司,"半导体设备,清洗",晶圆清洗设备、半导体湿法工艺、半导体装备,2000万元,2019
62,武汉拓荆科技有限公司,"半导体设备,薄膜",薄膜沉积设备、PECVD、半导体装备,2000万元,2020
63,武汉至纯半导体科技有限公司,"半导体设备,湿法",湿法工艺设备、高纯工艺系统、半导体装备,1000万元,2019
64,武汉南大光电材料有限公司,"半导体材料,前驱体",半导体前驱体、MO源、电子材料,2000万元,2018
65,武汉安集微电子科技有限公司,"半导体材料,抛光液",CMP抛光液、功能湿电子化学品、半导体材料,1000万元,2019
66,武汉明德生物科技股份有限公司,"医疗电子,体外诊断",体外诊断设备、医疗电子、生物传感器,5000万元,2014
67,武汉奇致激光技术有限公司,"医疗电子,激光",医疗激光设备、光电医疗、激光治疗,2000万元,2010
68,武汉医佳宝生物科技有限公司,"医疗电子,影像",医疗影像设备、超声设备、医疗电子,1000万元,2016
69,武汉兰丁云智能科技有限公司,"医疗电子,AI诊断",AI宫颈癌筛查、医疗AI、医疗电子,1000万元,2018
70,武汉高理传感器有限公司,"传感器,温度",NTC温度传感器、传感器芯片、智能传感,2000万元,2015
71,武汉微麦迈科技有限公司,"传感器,气体",气体传感器、环境监测、智能传感,500万元,2018
72,武汉光谷微纳传感器有限公司,"传感器,MEMS",MEMS传感器、惯性传感器、智能传感,1000万元,2017
73,武汉瑞声科技有限公司,"传感器,声学",声学传感器、触觉反馈、微型器件,2000万元,2018
74,武汉芯源半导体有限公司,"芯片,功率",功率半导体、MOSFET、电源管理芯片,1000万元,2019
75,武汉瞻芯电子科技有限公司,"芯片,SiC",碳化硅器件、功率模块、新能源汽车电控,1000万元,2020
76,武汉基本半导体有限公司,"芯片,SiC",碳化硅功率器件、肖特基二极管、功率模块,1000万元,2020
77,武汉泰科天澜半导体有限公司,"芯片,GaN",氮化镓功率器件、射频器件、第三代半导体,1000万元,2020
78,武汉天喻信息股份有限公司,"电子,智能卡",智能卡、信息安全、电子支付、嵌入式开发,5000万元,2003
79,武汉飞天智能科技有限公司,"电子,无人机",工业无人机、飞行控制、智能硬件,1000万元,2018
80,武汉智能鸟无人机有限公司,"电子,无人机",无人机系统、航空电子、智能硬件,500万元,2017
81,武汉易瓦特科技有限公司,"电子,无人机",工业级无人机、无人机云平台、智能硬件,1000万元,2015
82,武汉华工高理电子有限公司,"传感器,汽车",汽车传感器、NTC芯片、智能家居传感器,5000万元,2007
83,武汉逸飞激光智能装备有限公司,"激光,装备",激光智能装备、自动化产线、激光焊接系统,2000万元,2017
84,武汉华工赛百数据系统有限公司,"激光,防伪",激光全息防伪、数字水印、信息技术服务,1000万元,2006
85,武汉长兴电力电子有限公司,"电力电子,电源",电力电源、直流屏、UPS电源、电力电子,2000万元,2010
86,武汉国测电气有限公司,"电力电子,测试",电力测试设备、电气检测仪器、智能电网,1000万元,2012
87,武汉合康智能电气有限公司,"电力电子,变频",变频器、伺服驱动、电力电子器件,1000万元,2015
88,武汉光谷电竞科技有限公司,"电子,电竞",电竞设备、电子竞技平台、智能硬件,1000万元,2018
89,武汉芯屏科技有限公司,"显示面板,驱动芯片",显示驱动芯片、TDDI、集成电路设计,500万元,2019
90,武汉光微科技有限公司,"芯片,光电子",光电子芯片、硅光集成、光电探测器,1000万元,2018
91,武汉光华芯科技有限公司,"芯片,激光",激光器芯片、光放大器芯片、半导体激光器,1000万元,2017
92,武汉智多芯科技有限公司,"芯片,嵌入式",嵌入式处理器、MCU芯片、SoC设计,500万元,2019
93,武汉纳微芯科技有限公司,"芯片,传感器",传感器芯片、信号调理ASIC、微电子技术,500万元,2020
94,武汉赛微电子有限公司,"芯片,MEMS制造",MEMS芯片制造、微纳加工、集成电路制造,3000万元,2020
95,武汉虹拓新技术有限公司,"电子,光纤传感",光纤传感器、光纤测温、光电检测,500万元,2016
96,武汉长盈通光电技术有限公司,"光纤,特种光纤",特种光纤、光纤环圈、保偏光纤,3000万元,2011
97,武汉光谷光兆技术有限公司,"激光,超快激光",超快激光器、皮秒激光、激光加工,1000万元,2018
98,武汉九方信息技术有限公司,"电子,RFID",RFID产品、物联网终端、电子标签,500万元,2016
99,武汉芯动致远科技有限公司,"芯片,EDA",EDA工具、芯片验证、设计自动化,500万元,2020
100,武汉聚芯汇精科技有限公司,"芯片,ADC",高精度数据转换器、模拟前端、集成电路设计,500万元,2020
