id,company_name,credit_code,registered_capital,capital_amount,established_date,legal_representative,business_scope,registered_address,status,industry_tags,source_url,created_at,updated_at
11,武汉宏拓江山软件开发有限公司,,,,,,,,raw,{软件开发},https://baike.baidu.com/item/%E6%AD%A6%E6%B1%89%E5%AE%8F%E6%8B%93%E6%B1%9F%E5%B1%B1%E8%BD%AF%E4%BB%B6%E5%BC%80%E5%8F%91%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8/10027840?fr=aladdin,2026-08-03 10:59:18.532115,2026-08-03 10:59:18.532115
12,武汉德拓软件开发有限公司,,,,,,,,raw,{软件开发},https://www.liepin.com/company/gs40473191/,2026-08-03 10:59:18.532115,2026-08-03 10:59:18.532115
13,武汉群硕软件开发有限公司,,,,,,,,raw,{软件开发},https://baike.baidu.com/item/%E6%AD%A6%E6%B1%89%E7%BE%A4%E7%A1%95%E8%BD%AF%E4%BB%B6%E5%BC%80%E5%8F%91%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8/21326645?fr=aladdin,2026-08-03 10:59:18.532115,2026-08-03 10:59:18.532115
14,武汉计算机软件开发有限公司,,,,,,,,raw,{软件开发},https://aiqicha.baidu.com/company_directors_30223872786198,2026-08-03 10:59:18.532115,2026-08-03 10:59:18.532115
15,武汉)人工智能有限公司,,,,,,,,raw,{人工智能},https://aiqicha.baidu.com/detail/compinfo?pid=xlTM-TogKuTweYAmyzZtbAas-vCZ9HF-7Amd&rq=regcapital&pd=itnorm&from=ps&query=%E6%AD%A6%E6%B1%89%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD+%E5%85%AC%E5%8F%B8+%E6%B3%A8%E5%86%8C%E8%B5%84%E6%9C%AC,2026-08-03 10:59:18.532115,2026-08-03 10:59:18.532115
16,武汉倚天云计算有限公司,,,,,,,,raw,{人工智能},https://baike.baidu.com/item/%E6%AD%A6%E6%B1%89%E5%80%9A%E5%A4%A9%E4%BA%91%E8%AE%A1%E7%AE%97%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8/65296542?fr=aladdin,2026-08-03 10:59:18.532115,2026-08-03 10:59:18.532115
17,武汉快网云计算有限公司,,,,,,,,raw,{云计算},https://aiqicha.baidu.com/detail/compinfo?pid=xlTM-TogKuTwhJkblFZ5ygWcsO248fd99wmd&rq=regcapital&pd=itnorm&from=ps&query=%E6%AD%A6%E6%B1%89%E4%BA%91%E8%AE%A1%E7%AE%97+%E5%85%AC%E5%8F%B8+%E6%B3%A8%E5%86%8C%E8%B5%84%E6%9C%AC,2026-08-03 10:59:18.532115,2026-08-03 10:59:18.532115
18,武汉云计算科技有限公司,,,,,,,,raw,{云计算},https://www.zhipin.com/web/passport/zp/security.html?seed=HL5QmT7Sf40HaPjDo%2BEIrpkQ6pQ5qbRmztyljMXJmQU%3D&name=0ac27c3e&ts=1785725975781&callbackUrl=%2Fnapi%2Fzpssrseo%2Fcompanys%2Fea97de0c39aeea281HZz3di0EFA~.html&srcReferer,2026-08-03 10:59:18.532115,2026-08-03 10:59:18.532115
19,武汉云计算科技有限公司,,,,,,,,raw,{云计算},https://www.tianyancha.com/company/4310524500,2026-08-03 10:59:18.532115,2026-08-03 10:59:18.532115
20,武汉倚天云计算有限公司,,,,,,,,raw,{云计算},https://baike.baidu.com/item/%E6%AD%A6%E6%B1%89%E5%80%9A%E5%A4%A9%E4%BA%91%E8%AE%A1%E7%AE%97%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8/65296542?fr=aladdin,2026-08-03 10:59:18.532115,2026-08-03 10:59:18.532115
21,武汉大数据产业发展有限公司,,,,,,,,raw,{大数据},https://aiqicha.baidu.com/detail/compinfo?pid=xlTM-TogKuTw0vB*OKaSQ1MP7Ph-T2aWvAmd&rq=regcapital&pd=itnorm&from=ps&query=%E6%AD%A6%E6%B1%89%E5%A4%A7%E6%95%B0%E6%8D%AE+%E5%85%AC%E5%8F%B8+%E6%B3%A8%E5%86%8C%E8%B5%84%E6%9C%AC,2026-08-03 10:59:18.532115,2026-08-03 10:59:18.532115
22,武汉大数据产业发展有限公司,,,,,,,,raw,{大数据},https://baike.baidu.com/item/%E6%AD%A6%E6%B1%89%E5%A4%A7%E6%95%B0%E6%8D%AE%E4%BA%A7%E4%B8%9A%E5%8F%91%E5%B1%95%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8/24464279,2026-08-03 10:59:18.532115,2026-08-03 10:59:18.532115
23,武汉宏拓江山软件开发有限公司,,,,,,,,raw,{软件开发},https://baike.baidu.com/item/%E6%AD%A6%E6%B1%89%E5%AE%8F%E6%8B%93%E6%B1%9F%E5%B1%B1%E8%BD%AF%E4%BB%B6%E5%BC%80%E5%8F%91%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8/10027840?fr=aladdin,2026-08-03 11:13:38.997734,2026-08-03 11:13:38.997734
24,武汉德拓软件开发有限公司,,,,,,,,raw,{软件开发},https://www.liepin.com/company/gs40473191/,2026-08-03 11:13:38.997734,2026-08-03 11:13:38.997734
25,武汉群硕软件开发有限公司,,,,,,,,raw,{软件开发},https://baike.baidu.com/item/%E6%AD%A6%E6%B1%89%E7%BE%A4%E7%A1%95%E8%BD%AF%E4%BB%B6%E5%BC%80%E5%8F%91%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8/21326645?fr=aladdin,2026-08-03 11:13:38.997734,2026-08-03 11:13:38.997734
26,武汉市证通算力网络有限公司,,,,,,,,raw,{人工智能},https://finance.jrj.com.cn/2024/02/19151939542649.shtml,2026-08-03 11:13:38.997734,2026-08-03 11:13:38.997734
27,武汉快网云计算有限公司,,,,,,,,raw,{云计算},https://aiqicha.baidu.com/detail/compinfo?pid=xlTM-TogKuTwhJkblFZ5ygWcsO248fd99wmd&rq=regcapital&pd=itnorm&from=ps&query=%E6%AD%A6%E6%B1%89%E4%BA%91%E8%AE%A1%E7%AE%97+%E5%85%AC%E5%8F%B8+%E6%B3%A8%E5%86%8C%E8%B5%84%E6%9C%AC,2026-08-03 11:13:38.997734,2026-08-03 11:13:38.997734
28,武汉云计算科技有限公司,,,,,,,,raw,{云计算},https://www.zhipin.com/web/passport/zp/security.html?seed=HL5QmT7Sf40HaPjDo%2BEIrnaXc%2BQn%2BK5RADYkFmeFQXs%3D&name=0ac27c3e&ts=1785726831684&callbackUrl=%2Fnapi%2Fzpssrseo%2Fcompanys%2Fea97de0c39aeea281HZz3di0EFA~.html&srcReferer,2026-08-03 11:13:38.997734,2026-08-03 11:13:38.997734
29,武汉云计算科技有限公司,,,,,,,,raw,{云计算},https://www.tianyancha.com/login?from=%2Fscertificate%2F4310524500-4ef0,2026-08-03 11:13:38.997734,2026-08-03 11:13:38.997734
30,武汉倚天云计算有限公司,,,,,,,,raw,{云计算},https://baike.baidu.com/item/%E6%AD%A6%E6%B1%89%E5%80%9A%E5%A4%A9%E4%BA%91%E8%AE%A1%E7%AE%97%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8/65296542?fr=aladdin,2026-08-03 11:13:38.997734,2026-08-03 11:13:38.997734
31,武汉大数据产业发展有限公司,,,,,,,,raw,{大数据},https://aiqicha.baidu.com/detail/compinfo?pid=xlTM-TogKuTw0vB*OKaSQ1MP7Ph-T2aWvAmd&rq=regcapital&pd=itnorm&from=ps&query=%E6%AD%A6%E6%B1%89%E5%A4%A7%E6%95%B0%E6%8D%AE+%E5%85%AC%E5%8F%B8+%E6%B3%A8%E5%86%8C%E8%B5%84%E6%9C%AC,2026-08-03 11:13:38.997734,2026-08-03 11:13:38.997734
32,武汉大数据产业发展有限公司,,,,,,,,raw,{大数据},https://baike.baidu.com/item/%E6%AD%A6%E6%B1%89%E5%A4%A7%E6%95%B0%E6%8D%AE%E4%BA%A7%E4%B8%9A%E5%8F%91%E5%B1%95%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8/24464279,2026-08-03 11:13:38.997734,2026-08-03 11:13:38.997734
